HR Heart Rate;NLS_NOM_ECG_CARD_BEAT_RATE=0x00024182;NOM_ECG_CARD_BEAT_RATE=0x4182;=;NOM_DIM_BEAT_PER_MIN=0x0AA0
btbHR Cardiac Beat-to-Beat Rate;NLS_NOM_ECG_CARD_BEAT_RATE_BTB=0x0002418A;NOM_ECG_CARD_BEAT_RATE_BTB=0x418A;=;=
PVC Premature Ventricular Contractions;NLS_NOM_ECG_V_P_C_CNT=0x00024261;NOM_ECG_V_P_C_CNT=0x4261;=;NOM_DIM_BEAT_PER_MIN=0x0AA0
ST ST generic label;NLS_NOM_ECG_AMPL_ST=0x00020300;=;NOM_ECG_AMPL_ST_AI=0x0366;NOM_DIM_MILLI_M=0x0512
STindx ST Index;NLS_NOM_ECG_AMPL_ST_INDEX=0x0002F03D;NOM_ECG_AMPL_ST_INDEX=0xF03D;=;NOM_DIM_MILLI_M=0x0512
QTc;NLS_NOM_ECG_TIME_PD_QTc=0x00023F24;NOM_ECG_TIME_PD_QTc=0x3F24;=;NOM_DIM_MILLI_SEC=0x0892
DeltaQTc;NLS_NOM_ECG_TIME_PD_QTc_DELTA=0x0002F156;NOM_ECG_TIME_PD_QTc_DELTA=0xF156;=;NOM_DIM_MILLI_SEC=0x0892
QT;NLS_NOM_ECG_TIME_PD_QT_GL=0x00023F20;NOM_ECG_TIME_PD_QT_GL=0x3F20;=;NOM_DIM_MILLI_SEC=0x0892
QT-HR QT HEARTRATE;NLS_NOM_ECG_TIME_PD_QT_HEART_RATE=0x0002F154;NOM_ECG_TIME_PD_QT_HEART_RATE=0xF154;=;NOM_DIM_BEATS_PER_MIN=
QT Bsl;NLS_NOM_ECG_TIME_PD_QT_BASELINE=0x0002F155;NOM_ECG_TIME_PD_QT_BASELINE=0xF155;=;NOM_DIM_MILLI_SEC=0x0892
QTHRBl QT BASELINE HEARTRATE;NLS_NOM_ECG_TIME_PD_QT_BASELINE_HEART_RATE=0x0002F157;NOM_ECG_TIME_PD_QT_BASELINE_HEART_RATE=0xF157;=;NOM_DIM_MILLI_SEC=0x0892
Pulse Pulse Rate;NLS_NOM_PULS_RATE=0x0002480A;NOM_PULS_RATE=0x480A;=;NOM_DIM_BEAT_PER_MIN=0x0AA0
SpO2 Arterial Oxigen Saturation;NLS_NOM_PULS_OXIM_SAT_O2=0x00024BB8;NOM_PULS_OXIM_SAT_O2=0x4BB8;=;NOM_DIM_PERCENT=0x0220
Pulse Pulse Rate from Plethysmogram;NLS_NOM_PULS_OXIM_PULS_RATE=0x00024822;NOM_PLETH_PULS_RATE=0x4822;=;NOM_DIM_BEAT_PER_MIN=0x0AA0
SpO2pr Oxigen Saturation;NLS_NOM_PULS_OXIM_SAT_O2_PRE_DUCTAL=0x0002F1C0;NOM_PULS_OXIM_SAT_O2_PRE_DUCTAL=0xF1C0;=;NOM_DIM_PERCENT=0x0220
Pulse Pulse Rate from Plethysmogram (pre ductal);NLS_SPO2_NAMES_PULS_OXIM_PULS_RATE_PRE_DUCTAL=0x8015543D;NOM_PLETH_PULS_RATE=0x4822;=;NOM_DIM_BEAT_PER_MIN=0x0AA0
